Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
237,6,1,1,1,1,2,9,3,6,4,5,1,0,0,3,2,8,2,1,2,0,1,0,2,5,12,2
521,1,0,1,1,0,2,4,3,6,2,7,0,0,0,0,2,8,2,1,7,1,1,0,2,5,0,2
521,1,1,1,4,3,2,0,3,7,0,3,0,0,0,0,2,2,2,1,2,3,2,5,3,5,11,2
93,4,1,1,4,0,2,0,3,6,4,6,1,2,0,3,2,8,1,4,2,0,1,0,2,5,16,2
93,4,1,1,1,0,3,0,3,9,4,5,1,0,0,3,2,8,1,4,2,0,1,3,2,5,3,2
93,4,1,1,4,0,4,1,3,7,2,5,1,0,0,3,2,8,1,4,2,3,2,5,3,5,12,2
93,4,1,1,4,0,2,9,3,6,0,5,1,0,0,3,2,8,1,4,2,0,0,1,2,5,11,2
356,5,2,1,1,0,0,4,3,6,4,7,1,0,0,3,2,8,1,1,9,2,1,1,2,5,1,1
309,6,2,2,4,3,2,0,3,6,6,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,3,2
619,3,1,1,4,0,3,0,3,7,2,6,7,2,0,0,2,2,2,1,2,0,0,0,2,5,1,2
619,3,3,1,2,2,1,0,3,2,4,5,7,0,0,0,2,8,2,1,2,3,2,5,3,5,1,2
524,6,1,1,4,0,0,4,3,4,4,5,0,0,3,0,2,1,2,1,2,0,0,1,2,5,0,1
524,6,1,1,4,0,0,5,3,6,0,5,0,0,3,0,2,2,2,1,2,0,1,0,1,5,17,1
356,3,2,1,0,2,1,8,3,2,4,5,5,0,0,3,2,2,1,2,2,3,2,5,3,5,3,2
356,3,2,1,4,3,2,4,3,6,4,5,5,0,0,3,2,8,1,2,9,2,0,4,2,5,10,2
766,6,2,2,1,2,1,14,3,6,6,5,0,0,0,0,2,6,2,3,2,0,0,0,2,5,3,2
766,6,2,1,4,0,0,7,3,9,2,5,0,0,0,0,2,8,2,3,2,3,2,5,3,5,0,2
766,6,1,1,4,2,2,7,3,6,2,5,0,0,0,0,2,8,2,3,7,3,2,5,3,5,12,2
948,1,0,2,4,0,4,4,3,9,4,5,7,0,0,3,2,8,2,1,2,0,0,1,2,5,1,1
948,1,0,1,4,0,1,0,3,6,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,10,1
323,3,1,1,4,0,2,0,3,6,0,5,1,0,0,3,2,8,2,1,7,0,1,0,2,5,9,0
323,3,1,1,4,0,3,5,3,7,2,5,1,2,0,3,2,8,2,1,2,0,1,1,2,5,9,0
352,1,0,1,1,0,1,7,3,7,2,5,1,0,0,3,2,8,2,1,3,3,2,5,3,5,10,2
352,1,0,1,1,2,3,5,3,9,2,5,1,0,0,3,2,8,2,1,3,3,2,5,3,5,10,2
1060,3,2,1,4,0,0,0,3,2,2,5,0,0,0,3,2,2,2,1,2,0,1,0,2,5,10,2
1060,3,2,1,4,0,2,8,0,2,0,5,0,0,0,3,2,8,2,1,2,3,2,5,3,5,11,2
453,4,0,1,4,0,1,5,3,9,0,5,7,4,0,3,2,8,3,1,2,3,2,5,3,5,3,2
453,4,0,1,4,0,1,10,3,6,2,6,7,3,0,3,2,8,3,1,2,3,2,5,3,5,1,2
453,4,1,1,4,0,1,3,3,6,2,6,7,3,0,3,2,8,3,1,2,0,0,0,2,5,0,2
662,3,0,2,4,0,1,0,3,9,2,5,1,0,0,0,2,1,2,1,2,0,1,1,1,5,3,2
662,3,2,1,4,0,3,0,3,2,6,5,1,0,0,0,2,8,2,1,2,0,0,3,2,5,3,2
692,4,0,1,4,0,3,7,3,7,2,5,7,2,0,0,2,8,2,2,2,0,0,1,2,5,10,2
